Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,40 Yard,Rating,Draft
2000,Mike Brown,Nebraska,SS,70,204,,14,36,116,4.01,6.93,4.59,69,1
2014,Kapri Bibbs,Colorado State,RB,69,212,,24,29,104,,,4.67,66,1
2014,Kadeem Edwards,Tennessee State,OG,76,313,,26,27,99,4.82,7.95,5.25,66,1
2014,David Fales,San Jose State,QB,74,212,,,28,102,,,4.99,66,1
2014,Marcel Jensen,Fresno State,TE,78,259,,24,35,114,4.6,7.38,4.85,0,0
2014,Jalen Saunders,Oklahoma,WR,69,165,,,34,122,,,4.44,66,1
2014,Logan Thomas,Virginia Tech,QB,78,248,,,35.5,116,,,4.61,62,1
2014,Jordan Tripp,Montana,OLB,75,234,,22,37.5,120,3.96,6.89,4.67,66,1
2013,DeVonte Holloman,South Carolina,OLB,73,243,,15,33,113,4.26,7.3,4.76,66,1
2013,T.J. Johnson,South Carolina,C,76,310,,32,25.5,96,4.74,7.83,5.33,68,1
2013,Tavarres King,Georgia,WR,73,189,,11,36.5,123,4.33,6.91,4.47,65,1
2013,Michael Mauti,Penn State,OLB,74,243,,28,,,,,4.83,66,1
2012,Tank Carder,TCU,ILB,74,236,,19,34.5,121,4.18,6.89,4.58,66,1
2012,Darius Fleming,Notre Dame,OLB,74,245,,27,33.5,114,4.28,7.03,4.71,66,1
2012,Chandler Harnish,Northern Illinois,QB,74,219,,,32.5,112,4.15,6.78,4.68,66,1
2012,Delano Howell,Stanford,SS,71,210,,21,33,120,4.15,6.97,4.61,66,1
2012,Asa Jackson,Cal Poly,CB,70,191,,19,34.5,118,4.03,6.97,4.48,66,1
2012,LaMichael James,Oregon,RB,68,194,,15,35,123,4.12,6.88,4.35,69,1
2012,Steven Johnson,Kansas,OLB,73,239,,16,36,113,4.38,7.32,4.71,65,1
2011,David Arkin,Missouri State,OG,77,300,,25,29,103,4.63,7.6,5.31,66,1
2011,James Brewer,Indiana,OT,78,323,,25,26,100,4.81,7.84,5.21,75,1
2011,Chykie Brown,Texas,CB,71,190,,,36.5,120,4,6.5,4.49,66,1
2011,Casey Matthews,Oregon,ILB,73,231,,13,,,,,4.78,63,1
2010,A.J. Edds,Iowa,OLB,76,246,,16,33,117,4.28,7.19,4.62,64,1
2010,Clifton Geathers,South Carolina,DE,80,299,,26,36,112,,7.69,4.98,68,1
2015,Chris Harper,California,WR,71,176,,,,,,,4.53,0,0
2014,Lamin Barrow,Louisiana State,ILB,73,237,,22,35,123,4.35,7.24,4.64,65,1
2014,Carl Bradford,Arizona State,OLB,73,250,,23,37.5,122,4.3,7.25,4.76,65,1
2014,Jonathan Dowling,Western Kentucky,FS,75,190,,8,33.5,116,4.24,7.04,4.52,64,1
2014,Matt Hazel,Coastal Carolina,WR,73,198,,15,36.5,116,4.2,7.08,4.5,65,1
2014,Stephen Morris,Miami,QB,74,213,,,30,111,,,4.63,65,1
2014,Caraun Reid,Princeton,DT,74,302,,20,26.5,104,,7.59,4.91,65,1
2014,Marcus Roberson,Florida,CB,73,191,,8,37.5,120,4.08,6.84,4.61,0,0
2014,Connor Shaw,South Carolina,QB,73,206,,,34,115,,,4.66,66,1
2014,Jordan Zumwalt,UCLA,OLB,76,235,,,33,115,,6.99,4.76,64,1
2013,Chris Harper,Kansas State,WR,73,229,33,20,35.5,116,4.39,6.89,4.55,65,1
2012,Travis Lewis,Oklahoma,OLB,73,246,,22,36,122,,,4.83,62,1
2012,Trevin Wade,Arizona,CB,70,192,,18,34.5,116,4,6.87,4.52,65,1
2011,Pat Devlin,Delaware,QB,75,225,,,33,116,4.32,7.08,4.81,65,1
2011,Demarcus Dobbs,Georgia,DE,74,281,,,31,107,4.37,7.22,4.87,64,1
2010,Mike Johnson,Alabama,OG,73,312,,,25,,5.01,8.15,5.37,68,1
2010,Ricky Sapp,Clemson,OLB,76,252,,23,34,114,4.41,7.29,4.65,65,1
2014,Isaiah Burse,Fresno State,WR,70,188,,16,31,114,3.94,6.74,4.58,0,0
2014,Terrance Mitchell,Oregon,CB,71,192,,,34,116,4,6.57,4.63,64,1
2014,Kaleb Ramsey,Boston College,DT,75,293,,36,,,,,,64,1
2014,Tyler Starr,South Dakota,OLB,76,250,,24,32,115,4.15,6.64,4.95,64,1
2014,James Stone,Tennessee,C,76,306,,22,27.5,104,4.63,8.16,5.17,0,0
2013,Eric Herman,Ohio,OG,76,320,,36,28,95,5.09,7.99,5.25,64,1
2012,Josh Harris,Auburn,C,73,252,,15,,,,,4.82,60,1
2012,Cam Johnson,Virginia,DE,76,268,,,35,105,4.38,7.2,4.75,71,1
2012,Josh Kaddu,Oregon,OLB,75,239,,20,34,119,,,4.67,63,1
2012,Chase Minnifield,Virginia,CB,70,183,,7,,,,,4.65,64,1
2012,DeAngelo Tyson,Georgia,DT,74,315,,,,,,,5.04,67,1
2004,Josh Harris,Bowling Green,QB,73,234,25,,31,,,,4.84,60,1
2014,Wesley Johnson,Vanderbilt,OT,77,297,,26,29,111,4.64,7.4,5.11,69,1
2014,Kenny Ladler,Vanderbilt,FS,73,207,,24,36.5,126,,,4.7,0,0
2014,Yawin Smallwood,Connecticut,ILB,74,246,,18,36.5,108,,,,63,1
2014,Jemea Thomas,Georgia Tech,FS,69,192,,19,37,124,,,4.55,69,1
2014,Kerry Wynn,Richmond,DE,77,266,,31,34,113,,7.11,4.97,0,0
2013,Nick Moody,Florida State,OLB,73,236,,17,,118,,,4.71,61,1
2013,Trevardo Williams,Connecticut,OLB,73,241,14,30,38,124,,,4.57,63,1
2012,Miles Burris,San Diego State,OLB,74,246,,31,37.5,121,,,4.73,71,1
2012,Terrence Frederick,Texas A&M,CB,70,187,,16,35,121,4.03,6.59,4.44,63,1
2012,Najee Goode,West Virginia,ILB,73,244,,,35.5,117,,,4.55,63,1
2012,Tommy Streeter,Miami,WR,77,219,,17,33,125,,7.08,4.37,63,1
2014,Jeremy Gallon,Michigan,WR,68,185,,15,,,,,4.49,62,1
2014,Jackson Jeffcoat,Texas,DE,75,247,,18,36,123,,6.97,4.63,0,0
2014,Antonio Richardson,Tennessee,OT,78,336,,36,24.5,,,,5.3,67,1
2013,Alan Bonner,Jacksonville State,WR,70,193,,14,33,117,4.15,,4.59,62,1
2011,Sione Fua,Stanford,DT,74,308,,30,24,101,4.54,7.54,5.28,72,1
2013,Rodney Smith,Florida State,WR,76,225,,,34.5,120,4.07,7.03,4.51,61,1
2012,Ryan Lindley,San Diego State,QB,76,229,35,,29.5,108,4.45,7.52,4.86,64,1
2010,Sam Young,Notre Dame,OT,80,316,,29,29.5,104,4.87,7.73,5.2,69,1
2009,Kory Sheets,Purdue,RB,71,208,,15,37,121,4.39,7.18,4.39,61,1
2012,Chandler Jones,Syracuse,DE,77,266,,22,35,120,4.38,7.07,4.77,87,1
2004,Keith Smith,McNeese State (LA),CB,73,201,,12,36.5,116,,,4.48,0,0
2012,Travian Robertson,South Carolina,DT,76,302,,30,26,102,,,5.12,66,1
2015,Ameer Abdullah,Nebraska,RB,69,205,,24,42.5,130,3.95,6.79,4.6,0,0
2015,Nelson Agholor,Southern California,WR,73,198,,12,,,,,4.42,0,0
2015,Malcolm Agnew,Southern Illinois,RB,70,202,,,,,,,4.59,0,0
2015,Jay Ajayi,Boise State,RB,73,221,,19,39,121,4.1,7.1,4.57,0,0
2015,Brandon Alexander,Central Florida,FS,74,195,,,,,,,4.59,0,0
2015,Kwon Alexander,Louisiana State,OLB,73,227,,24,36,121,4.2,7.14,4.55,0,0
2015,Mario Alford,West Virginia,WR,68,180,,13,34,121,4.07,6.64,4.43,0,0
2015,Detric Allen,East Carolina,CB,73,200,,,,,,,4.59,0,0
2015,Javorius Allen,Southern California,RB,73,221,,11,35.5,121,4.28,6.96,4.53,0,0
2015,Jordan Allen,Arizona,DE,77,254,,,,,,,4.83,0,0
2015,Quinton Alston,Iowa,ILB,73,232,,,,,,,4.69,0,0
2015,Adrian Amos,Penn State,FS,73,218,,,35.5,122,4.03,7.09,4.56,0,0
2015,Dres Anderson,Utah,WR,73,187,,13,,,,,4.53,0,0
2015,Henry Anderson,Stanford,DE,78,294,,,30,111,4.19,7.2,4.97,0,0
2015,Rory Anderson,South Carolina,TE,77,244,,,,,,,4.73,0,0
2015,Zaire Anderson,Nebraska,OLB,71,224,,,,,,,4.68,0,0
2015,David Andrews,Georgia,C,75,294,,,,,,,5.12,0,0
2015,Stephone Anthony,Clemson,ILB,75,243,,23,37,122,4.03,7.07,4.56,0,0
2015,Chi Chi Ariguzo,Northwestern,OLB,73,234,,,,,,,4.87,0,0
2015,Thurston Armbrister,Miami,OLB,74,241,,,,,,,4.77,0,0
2015,Arik Armstead,Oregon,DT,79,292,,24,34,117,4.53,7.57,5.1,0,0
2015,Cameron Artis-Payne,Auburn,RB,70,212,,,36.5,118,,7.13,4.53,0,0
2015,Kennard Backman,UAB,TE,75,239,,,,,,,4.76,0,0
2015,Quinn Backus,Coastal Carolina,SS,69,216,,,,,,,4.67,0,0
2015,Neiron Ball,Florida,OLB,74,236,,22,,,,,4.68,0,0
2015,Deion Barnes,Penn State,DE,76,260,,,,,,,4.75,0,0
2015,Tavaris Barnes,Clemson,DE,76,282,,22,,,,,4.8,0,0
2015,Austin Barron,Florida State,C,75,293,,,,,,,5.17,0,0
2015,Jermaine Barton,Illinois State,OT,79,315,,,,,,,5.38,0,0
2015,Houston Bates,Louisiana Tech,OLB,73,245,,,,,,,4.77,0,0
2015,Mickey Baucus,Arizona,OT,79,309,,,,,,,5.33,0,0
2015,Will Baumann,North Carolina State,P,78,187,,,,,,,5.14,0,0
2015,DeJuan Beard,Washburn,WR,73,195,,,,,,,4.56,0,0
2015,Vic Beasley,Clemson,OLB,75,246,,35,41,130,4.15,6.91,4.53,0,0
2015,Ben Beckwith,Mississippi State,OG,76,317,,,,,,,5.24,0,0
2015,Blake Bell,Oklahoma,TE,78,252,,14,33,116,4.32,6.85,4.8,0,0
2015,Kenny Bell,Nebraska,WR,73,197,,7,41.5,129,4.15,6.66,4.42,0,0
2015,Mitchell Bell,Louisiana Tech,OG,74,348,,,,,,,5.48,0,0
2015,Bill Belton,Penn State,RB,69,204,,,,,,,4.55,0,0
2015,Bryan Bennett,Southeastern Louisiana,QB,74,211,,,37,125,4.2,7.13,4.81,0,0
2015,Bryon Bennett,Mississippi,DT,74,293,,,,,,,5.12,0,0
2015,Mike Bennett,Ohio State,DT,74,293,,,,,,,4.96,0,0
2015,Tim Bennett,Indiana,CB,69,186,,,,,,,4.52,0,0
2015,Joe Bergeron,Texas A&M-Commerce,RB,73,235,,,,,,,4.62,0,0
2015,Seth Betancourt,Boston College,OT,77,300,,,,,,,5.16,0,0
2015,Brennen Beyer,Michigan,OLB,75,256,,,,,,,4.9,0,0
2015,E.J. Bibbs,Iowa State,TE,74,258,,20,,,,,4.76,0,0
2015,Craig Bills,Brigham Young,SS,73,205,,,,,,,4.68,0,0
2015,Angelo Blackson,Auburn,DT,76,318,,20,31,101,4.57,7.5,5.02,0,0
2015,Bernard Blake,Colorado State,CB,71,177,,,,,,,4.52,0,0
2015,Brian Blechen,Utah,SS,74,216,,,,,,,4.7,0,0
2015,Al Bond,Memphis,OG,76,303,,22,23.5,90,4.65,7.9,5.57,0,0
2015,TraMayne Bondurant,Arizona,FS,70,212,,,,,,,4.54,0,0
2015,Chris Bonner,Colorado State-Pueblo,QB,78,237,,,,,,,5.12,0,0
2015,Detrick Bonner,Virginia Tech,FS,73,207,,15,,,,,4.56,0,0
2015,Anthony Boone,Duke,QB,73,231,,,26.5,100,4.62,7.47,5.03,0,0
2015,Cameron Botticelli,Minnesota,DT,76,292,,,,,,,4.98,0,0
2015,Gerald Bowman,Southern California,SS,73,205,,,,,,,4.58,0,0
2015,Brett Boyko,UNLV,OG,79,301,,,25,103,4.75,7.91,5.6,0,0
2015,Nick Boyle,Delaware,TE,76,268,,20,30.5,112,4.23,7.13,5.04,0,0
2015,Brandon Bridge,South Alabama,QB,76,229,,,33,110,4.37,7.18,4.72,0,0
2015,Kyle Brindza,Notre Dame,K,73,236,,14,,,,,5.17,0,0
2015,Terrance Broadway,Louisiana-Lafayette,QB,73,223,,,,,,,4.62,0,0
2015,Cariel Brooks,Adams State,CB,69,196,,,,,,,4.53,0,0
2015,Artez Brown,Arkansas State,CB,73,182,,,,,,,4.52,0,0
2015,Da'Ron Brown,Northern Illinois,WR,73,205,,17,37,120,4.11,7.04,4.54,0,0
2015,Dominique Brown,Louisville,RB,74,234,,17,,,,,4.62,0,0
2015,Jamon Brown,Louisville,OT,76,323,,,,,,,5.44,0,0
2015,Leon Brown,Alabama,OG,78,346,,,,,,,5.67,0,0
2015,Malcolm Brown,Texas,RB,71,224,,19,34.5,117,4.15,6.86,4.62,0,0
2015,Malcom Brown,Texas,DT,74,319,,26,29.5,98,4.59,7.84,5.05,0,0
2015,Trent Brown,Florida,OT,80,355,,20,23.5,97,4.78,8.23,5.29,0,0
2015,Serderius Bryant,Mississippi,SS,68,228,,,,,,,4.64,0,0
2015,Quayshawne Buckley,Idaho,DT,74,302,,,,,,,5.26,0,0
2015,Betim Bujari,Rutgers,C,75,298,,,,,,,5.27,0,0
2015,Malcolm Bunche,UCLA,OG,78,320,,,,,,,5.24,0,0
2015,Blair Burns,Wyoming,CB,70,186,,,,,,,4.55,0,0
2015,Clay Burton,Florida,TE,75,248,,,,,,,4.76,0,0
2015,Mike Burton,Rutgers,FB,71,242,,25,33,115,4.34,7.2,4.74,0,0
2015,Damiere Byrd,South Carolina,WR,69,162,,,,,,,4.39,0,0
2015,Bryce Callahan,Rice,CB,69,184,,,,,,,4.49,0,0
2015,Jesse Callier,Washington,RB,70,202,,,,,,,4.53,0,0
2015,Ibraheim Campbell,Northwestern,SS,71,208,,23,,,,,4.59,0,0
2015,A.J. Cann,South Carolina,OG,75,313,,26,,,,,5.18,0,0
2015,Nordly Capi,Akron,DE,75,252,,,,,,,4.86,0,0
2015,Shane Carden,East Carolina,QB,74,218,,,29.5,104,4.45,7.17,4.94,0,0
2015,Joe Cardona,Navy,LS,74,242,,30,33,,,,4.91,0,0
2015,Alex Carter,Stanford,CB,73,196,,17,40,121,4.07,7.05,4.51,0,0
2015,DeAndre Carter,Sacramento State,WR,68,186,,,,,,,4.48,0,0
2015,Sam Carter,TCU,SS,73,216,,,,,,,4.63,0,0
2015,Tevin Carter,Utah,FS,73,215,,,,,,,4.54,0,0
2015,James Castleman,Oklahoma State,DT,75,311,,,,,,,5.12,0,0
2015,B.J. Catalon,TCU,RB,67,186,,,36,114,4.15,6.9,4.57,0,0
2015,Rakeem Cato,Marshall,QB,71,171,,,,,,,4.7,0,0
2015,Donald Celiscar,Western Michigan,CB,71,194,,,,120,,,4.62,0,0
2015,Tyson Chandler,North Carolina State,OT,78,354,,,,,,,5.42,0,0
2015,Anthony Chickillo,Miami,DE,75,267,,27,34.5,114,4.25,7.17,4.79,0,0
2015,Jawon Chisholm,Akron,RB,73,202,,,,,,,4.63,0,0
2015,Gerald Christian,Louisville,TE,75,244,,28,,,4.7,7.62,4.87,0,0
2015,Kyle Christy,Florida,P,74,202,,,,,,,4.93,0,0
2015,Tyler Cierski,Maryland,FB,71,260,,,,,,,4.74,0,0
2015,Imoan Claiborne,Northwestern State,CB,70,189,,,,,,,4.53,0,0
2015,Ace Clark,Western Carolina,SS,74,217,,,,,,,4.68,0,0
2015,Frank Clark,Michigan,DE,75,271,,19,38.5,118,4.05,7.08,4.79,0,0
2015,Marquez Clark,Central Oklahoma,WR,70,190,,,,,,,4.58,0,0
2015,Blaine Clausell,Mississippi State,OT,78,329,,,,,,,5.37,0,0
2015,Kaelin Clay,Utah,WR,70,195,,10,33,113,4.26,6.97,4.51,0,0
2015,Cameron Clear,Texas AM,OT,77,277,,,32,108,4.48,7.52,4.98,0,0
2015,T.J. Clemmings,Pittsburgh,OT,77,309,,22,32.5,111,4.54,7.68,5.14,0,0
2015,Cameron Clemmons,Western Kentucky,OT,78,300,,,,,,,5.28,0,0
2015,Reshard Cliett,South Florida,OLB,74,221,,,,,,,4.67,0,0
2015,Sammie Coates,Auburn,WR,73,212,,23,41,131,4.06,6.98,4.43,0,0
2015,David Cobb,Minnesota,RB,71,229,,17,38.5,121,,,4.59,0,0
2015,Takoby Cofield,Duke,OT,76,310,,23,30,101,4.79,8.09,5.19,0,0
2015,Justin Coleman,Tennessee,CB,71,185,,20,37.5,124,3.98,6.61,4.53,0,0
2015,Tevin Coleman,Indiana,RB,71,206,,22,,,,,4.59,0,0
2015,Henry Coley,Virginia,ILB,73,239,,,,,,,4.95,0,0
2015,Jalen Collins,Louisiana State,CB,73,203,,,36,124,4.27,6.77,4.48,0,0
2015,La`el Collins,Louisiana State,OT,76,305,,21,27,108,4.63,7.7,5.12,0,0
2015,Landon Collins,Alabama,SS,73,228,,,35,120,4.33,7.38,4.53,0,0
2015,Austin Collinsworth,Notre Dame,SS,73,205,,,,,,,4.62,0,0
2015,Chris Conley,Georgia,WR,74,213,,18,45,139,4.3,7.06,4.35,0,0
2015,Brey Cook,Arkansas,OT,77,317,,,,,,,5.29,0,0
2015,Kenny Cook,Gardner-Webb,WR,75,215,,,,,,,4.56,0,0
2015,Amari Cooper,Alabama,WR,73,211,,,33,120,3.98,6.71,4.42,0,0
2015,Corey Cooper,Nebraska,SS,73,209,,,,,,,4.62,0,0
2015,Xavier Cooper,Washington State,DT,75,293,,29,29,110,4.37,7.23,4.86,0,0
2015,Christian Covington,Rice,DT,74,289,,,,,,,5.09,0,0
2015,Justin Cox,Mississippi State,CB,73,191,,15,38,129,4.07,7.05,4.36,0,0
